Nom du skin,2025-06-05,Steam - 2025-06-05,SkinBaron - 2025-06-05,Steam - 2025-06-06,SkinBaron - 2025-06-06,Steam - 2025-06-07,SkinBaron - 2025-06-07
AK-47 | Safety Net (Battle-Scarred),2.73,2.73,2.0,2.94,2.0,2.92,2.21
AK-47 | Safety Net (Factory New),7.19,7.19,4.57,7.37,4.57,6.69,4.57
AK-47 | Safety Net (Field-Tested),2.84,2.84,2.06,3.07,2.06,2.78,2.0
AK-47 | Safety Net (Minimal Wear),4.49,4.49,2.97,4.38,2.97,4.6,3.08
AK-47 | Safety Net (Well-Worn),3.79,3.79,2.54,3.6,2.54,3.64,2.54
AK-47 | Searing Rage (Battle-Scarred),5.13,5.13,3.74,5.3,3.74,4.9,3.7
AK-47 | Searing Rage (Factory New),39.9,39.9,23.79,38.93,23.79,42.51,23.17
AK-47 | Searing Rage (Field-Tested),6.71,6.71,4.87,6.95,4.87,6.68,4.99
AK-47 | Searing Rage (Minimal Wear),12.55,12.55,8.71,12.99,8.71,12.65,8.68
AK-47 | Searing Rage (Well-Worn),5.78,5.78,4.49,5.76,4.49,5.66,4.47
AK-47 | Slate (Battle-Scarred),3.84,3.84,2.62,4.17,2.62,3.74,2.9
AK-47 | Slate (Factory New),18.98,18.98,12.95,19.6,12.95,19.89,12.98
AK-47 | Slate (Field-Tested),4.92,4.92,3.41,5.14,3.41,4.91,3.47
AK-47 | Slate (Minimal Wear),8.32,8.32,5.43,8.34,5.43,7.86,5.41
AK-47 | Slate (Well-Worn),4.29,4.29,2.73,4.31,2.73,4.04,2.96
AK-47 | Steel Delta (Battle-Scarred),2.0,2.0,1.35,2.01,1.35,2.03,1.33
AK-47 | Steel Delta (Factory New),3.99,3.99,2.6,3.98,2.6,3.99,2.69
AK-47 | Steel Delta (Field-Tested),1.44,1.44,0.99,1.35,0.99,1.57,1.01
AK-47 | Steel Delta (Minimal Wear),2.43,2.43,1.6,2.33,1.6,2.27,1.61
AK-47 | Steel Delta (Well-Worn),2.01,2.01,1.33,2.07,1.33,1.95,1.36
AK-47 | The Empress (Battle-Scarred),42.81,42.81,31.23,43.15,31.23,45.39,31.28
AK-47 | The Empress (Factory New),262.14,262.14,201.47,271.14,201.47,269.99,201.35
AK-47 | The Empress (Field-Tested),50.55,50.55,35.91,53.01,35.91,52.34,36.51
AK-47 | The Empress (Minimal Wear),79.78,79.78,58.34,82.04,58.34,81.39,63.2
AK-47 | The Empress (Well-Worn),47.5,47.5,31.26,49.73,31.26,47.99,31.39
AK-47 | The Outsiders (Battle-Scarred),5.77,5.77,4.52,5.89,4.52,5.89,4.5
AK-47 | The Outsiders (Factory New),66.16,66.16,34.41,68.35,34.41,75.68,34.53
